"Date","Price","Open","High","Low","Change %"
"Jan 07, 2016","1.513","1.532","1.532","1.503","-2.51%"
"Jan 06, 2016","1.552","1.567","1.567","1.538","-1.02%"
"Jan 05, 2016","1.568","1.558","1.568","1.558","1.29%"
"Jan 04, 2016","1.548","1.603","1.603","1.548","-2.82%"
"Jan 03, 2016","1.593","1.593","1.593","1.593","0.00%"
"Dec 31, 2015","1.593","1.593","1.593","1.593","-0.13%"
"Dec 30, 2015","1.595","1.545","1.595","1.545","3.17%"
"Dec 29, 2015","1.546","1.566","1.566","1.546","-1.28%"
"Dec 28, 2015","1.566","1.553","1.665","1.553","0.64%"
"Dec 27, 2015","1.556","1.556","1.556","1.556","0.00%"
"Dec 24, 2015","1.556","1.552","1.556","1.552","0.84%"
"Dec 23, 2015","1.543","1.553","1.553","1.543","1.92%"
"Dec 22, 2015","1.514","1.519","1.519","1.509","-1.30%"
"Dec 21, 2015","1.534","1.534","1.534","1.534","-0.71%"
"Dec 20, 2015","1.545","1.545","1.545","1.545","0.00%"
"Dec 18, 2015","1.545","1.545","1.545","1.545","-2.59%"
"Dec 17, 2015","1.586","1.620","1.635","1.585","-1.12%"
"Dec 16, 2015","1.604","1.620","1.620","1.604","2.17%"
"Dec 15, 2015","1.570","1.574","1.574","1.570","-0.25%"
"Dec 14, 2015","1.574","1.596","1.596","1.547","0.13%"
"Dec 13, 2015","1.572","1.572","1.572","1.572","0.00%"
"Dec 11, 2015","1.572","1.572","1.572","1.572","-0.06%"
